,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,962903703.0,1069837447.0,1069837447.0,1069837447.0,
Share Issued,962903703.0,1069837447.0,1069837447.0,1069837447.0,
Net Debt,76298000000.0,69836000000.0,64090000000.0,68167000000.0,
Total Debt,93042000000.0,87964000000.0,84414000000.0,93849000000.0,
Tangible Book Value,73189000000.0,74180000000.0,69546000000.0,56946000000.0,
Invested Capital,183434000000.0,177571000000.0,167184000000.0,163238000000.0,
Working Capital,26941000000.0,20742000000.0,14471000000.0,15254000000.0,
Net Tangible Assets,73189000000.0,74180000000.0,69546000000.0,56946000000.0,
Capital Lease Obligations,2233000000.0,2166000000.0,2645000000.0,2562000000.0,
Common Stock Equity,92625000000.0,91773000000.0,85415000000.0,71951000000.0,
Total Capitalization,153470000000.0,145153000000.0,134958000000.0,132565000000.0,
Total Equity Gross Minority Interest,93630000000.0,92816000000.0,86540000000.0,73167000000.0,
Minority Interest,1005000000.0,1043000000.0,1125000000.0,1216000000.0,
Stockholders Equity,92625000000.0,91773000000.0,85415000000.0,71951000000.0,
Treasury Stock,0.0,2256000000.0,0.0,0.0,
Retained Earnings,75469000000.0,76670000000.0,67695000000.0,55926000000.0,
Additional Paid In Capital,11718000000.0,11718000000.0,11718000000.0,11723000000.0,
Capital Stock,3070000000.0,3070000000.0,3070000000.0,3070000000.0,
Common Stock,3070000000.0,3070000000.0,3070000000.0,3070000000.0,
Total Liabilities Net Minority Interest,171380000000.0,170206000000.0,173475000000.0,186664000000.0,
Total Non Current Liabilities Net Minority Interest,96554000000.0,86916000000.0,85072000000.0,98989000000.0,
Other Non Current Liabilities,1151000000.0,1034000000.0,2000000.0,4000000.0,
Derivative Product Liabilities,610000000.0,798000000.0,1611000000.0,1087000000.0,
Non Current Pension And Other Postretirement Benefit Plans,952000000.0,1090000000.0,1021000000.0,5359000000.0,
Non Current Accrued Expenses,4000000.0,6000000.0,6000000.0,10000000.0,
Tradeand Other Payables Non Current,1350000000.0,1481000000.0,1236000000.0,723000000.0,
Non Current Deferred Revenue,3295000000.0,2886000000.0,4890000000.0,5155000000.0,
Non Current Deferred Taxes Liabilities,7497000000.0,7714000000.0,6910000000.0,4488000000.0,
Long Term Debt And Capital Lease Obligation,62593000000.0,55093000000.0,51590000000.0,62680000000.0,
Long Term Capital Lease Obligation,1748000000.0,1713000000.0,2047000000.0,2066000000.0,
Long Term Debt,60845000000.0,53380000000.0,49543000000.0,60614000000.0,
Long Term Provisions,7332000000.0,7345000000.0,6438000000.0,7909000000.0,
Current Liabilities,74826000000.0,83290000000.0,88403000000.0,87675000000.0,
Other Current Liabilities,1581000000.0,1582000000.0,155000000.0,156000000.0,
Current Debt And Capital Lease Obligation,30449000000.0,32871000000.0,32824000000.0,31169000000.0,
Current Capital Lease Obligation,485000000.0,453000000.0,598000000.0,496000000.0,
Current Debt,29964000000.0,32418000000.0,32226000000.0,30673000000.0,
Current Provisions,7688000000.0,7955000000.0,9585000000.0,8053000000.0,
Payables,13579000000.0,15351000000.0,15847000000.0,14326000000.0,
Other Payable,,810000000.0,663000000.0,741000000.0,885000000.0
