,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,43560000.0,49680000.0,96476000.0,-208593000.0,
Tax Rate For Calcs,0.264,0.276,0.271,0.301,
Normalized EBITDA,21340000000.0,27258000000.0,26896000000.0,23913000000.0,
Total Unusual Items,165000000.0,180000000.0,356000000.0,-693000000.0,
Total Unusual Items Excluding Goodwill,165000000.0,180000000.0,356000000.0,-693000000.0,
Net Income From Continuing Operation Net Minority Interest,10207000000.0,14261000000.0,14501000000.0,10660000000.0,
Reconciled Depreciation,6772000000.0,6663000000.0,6521000000.0,6980000000.0,
Reconciled Cost Of Revenue,117018000000.0,117386000000.0,115997000000.0,103218000000.0,
EBITDA,21505000000.0,27438000000.0,27252000000.0,23220000000.0,
EBIT,14733000000.0,20775000000.0,20731000000.0,16240000000.0,
Net Interest Income,435000000.0,6000000.0,249000000.0,100000000.0,
Interest Expense,586000000.0,691000000.0,427000000.0,429000000.0,
Interest Income,738000000.0,678000000.0,818000000.0,307000000.0,
Normalized Income,10085560000.0,14130680000.0,14241476000.0,11144407000.0,
Net Income From Continuing And Discontinued Operation,10207000000.0,14261000000.0,14501000000.0,23006000000.0,
Total Expenses,133293000000.0,134868000000.0,132133000000.0,118917000000.0,
Diluted Average Shares,1002000000.0,1059600000.0,1069800000.0,1069800000.0,
Basic Average Shares,1002000000.0,1059600000.0,1069800000.0,1069800000.0,
Diluted EPS,10.19,13.46,13.55,21.5,
Basic EPS,10.19,13.46,13.55,21.5,
Diluted NI Availto Com Stockholders,10207000000.0,14261000000.0,14501000000.0,23006000000.0,
Net Income Common Stockholders,10207000000.0,14261000000.0,14501000000.0,23006000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,10207000000.0,14261000000.0,14501000000.0,23006000000.0,
Minority Interests,-202000000.0,-270000000.0,-308000000.0,-390000000.0,
Net Income Including Noncontrolling Interests,10409000000.0,14531000000.0,14809000000.0,23396000000.0,
Net Income Discontinuous Operations,,,0.0,12346000000.0,-22000000.0
Net Income Continuous Operations,10409000000.0,14531000000.0,14809000000.0,11050000000.0,
Tax Provision,3738000000.0,5553000000.0,5495000000.0,4761000000.0,
Pretax Income,14147000000.0,20084000000.0,20304000000.0,15811000000.0,
Other Non Operating Income Expenses,304000000.0,139000000.0,83000000.0,76000000.0,
Special Income Charges,-107000000.0,-238000000.0,419000000.0,-693000000.0,
Other Special Charges,107000000.0,238000000.0,-419000000.0,693000000.0,
Net Non Operating Interest Income Expense,435000000.0,6000000.0,249000000.0,100000000.0,
Total Other Finance Cost,-283000000.0,-19000000.0,142000000.0,-222000000.0,
Interest Expense Non Operating,586000000.0,691000000.0,427000000.0,429000000.0,
Interest Income Non Operating,738000000.0,678000000.0,818000000.0,307000000.0,
Operating Income,12301000000.0,17522000000.0,17884000000.0,14976000000.0,
Operating Expense,16275000000.0,17482000000.0,16136000000.0,15699000000.0,
Other Operating Expenses,345000000.0,249000000.0,937000000.0,783000000.0,
Research And Development,5580000000.0,6230000000.0,5602000000.0,5467000000.0,
Selling General And Administration,12522000000.0,13041000000.0,12066000000.0,12002000000.0,
Selling And Marketing Expense,9993000000.0,10270000000.0,9482000000.0,9194000000.0,
General And Administrative Expense,2529000000.0,2771000000.0,2584000000.0,2808000000.0,
Gross Profit,28576000000.0,35004000000.0,34020000000.0,30675000000.0,
Cost Of Revenue,117018000000.0,117386000000.0,115997000000.0,103218000000.0,
Total Revenue,145594000000.0,152390000000.0,150017000000.0,133893000000.0,
Operating Revenue,145594000000.0,152390000000.0,150017000000.0,133893000000.0,
